Timestamp,Open,High,Low,Close,Weighted_Price
2020-08-21,11480.0,11884.99,11864.26,11529.22,14865.37875873
2020-08-22,11370.0,11693.16,11529.99,11672.93,7946.02465327
2020-08-23,11525.62,11715.0,11672.92,11650.01,5516.17048181
2020-08-24,11592.91,11823.62,11650.01,11753.85,7253.01922609
2020-08-25,11102.73,11769.76,11753.26,11324.92,14348.63533296
2020-08-26,11254.89,11539.99,11324.92,11463.27,9124.5541845
2020-08-27,11125.0,11597.92,11463.27,11330.06,13517.39421459
2020-08-28,11282.09,11550.51,11330.56,11535.0,10373.89590327
2020-08-29,11422.21,11580.0,11535.0,11474.31,5417.54146196
2020-08-30,11463.87,11720.0,11474.3,11716.01,5594.22582376
2020-08-31,11576.0,11784.66,11716.0,11655.0,9123.59353747
2020-09-01,11525.09,12086.0,11655.0,11924.22,16057.64432384
2020-09-02,11160.0,11950.0,11924.22,11395.48,19721.44316904
2020-09-03,10005.0,11474.99,11395.49,10172.52,30364.24398441
2020-09-04,9895.22,10638.34,10172.13,10500.05,23366.46467779
2020-09-05,9813.0,10564.8,10500.05,10168.36,22450.75807716
2020-09-06,10000.0,10358.88,10169.58,10257.86,9516.19303239
2020-09-07,9880.0,10410.9,10258.67,10375.0,11996.92866276
2020-09-08,9819.83,10440.91,10375.0,10125.69,15768.31017626
2020-09-09,9983.34,10349.99,10126.41,10224.56,9645.50409232
2020-09-10,10216.41,10489.0,10224.56,10343.23,11237.01908035
2020-09-11,10200.0,10411.44,10344.24,10394.41,7200.29156246
2020-09-12,10276.19,10483.23,10394.41,10446.52,6495.30033616
2020-09-13,10211.0,10582.36,10446.52,10336.76,10442.19360563
2020-09-14,10253.0,10760.62,10336.76,10679.95,13532.95018331
2020-09-15,10613.18,10950.0,10678.41,10783.75,12634.3292873
2020-09-16,10662.02,11099.95,10783.36,10959.61,11003.70130082
2020-09-17,10735.55,11044.0,10957.06,10943.61,8885.4490645
2020-09-18,10813.0,11039.88,10943.99,10937.52,8660.059472
2020-09-19,10891.78,11179.9,10937.5,11080.0,5718.02211829
2020-09-20,10759.37,11081.37,11081.09,10920.89,6003.78509052
2020-09-21,10180.0,10994.0,10920.94,10416.82,15004.71121349
2020-09-22,10355.0,10576.82,10416.83,10531.13,7904.25642443
2020-09-23,10135.22,10541.25,10531.13,10235.1,8893.24233647
2020-09-24,10192.56,10795.87,10237.41,10740.01,9678.39349807
2020-09-25,10551.0,10765.07,10740.0,10690.53,9690.62760986
2020-09-26,10654.58,10828.0,10690.53,10730.0,3783.39739972
2020-09-27,10595.24,10806.32,10730.0,10778.2,3880.03686062
2020-09-28,10621.22,10956.11,10779.0,10695.55,8876.06156838
2020-09-29,10636.13,10860.79,10694.9,10840.73,8200.78265336
2020-09-30,10657.04,10847.0,10839.98,10779.63,6318.52943807
2020-10-01,10427.75,10931.98,10779.63,10617.63,12848.73637335
2020-10-02,10363.76,10668.56,10616.35,10573.12,10263.48290265
2020-10-03,10498.02,10606.36,10573.12,10551.65,3211.70459291
2020-10-04,10521.87,10697.0,10550.32,10671.11,3569.25620166
2020-10-05,10621.12,10800.0,10670.01,10795.0,6081.38701926
2020-10-06,10524.0,10800.0,10796.97,10602.66,7596.36372031
2020-10-07,10546.78,10683.75,10601.2,10670.47,6108.04255109
2020-10-08,10532.11,10963.16,10670.47,10933.09,11301.25106194
2020-10-09,10834.49,11111.11,10932.44,11057.07,10098.3991552
2020-10-10,11055.75,11498.98,11057.07,11299.5,9312.75916488
2020-10-11,11276.28,11444.25,11299.52,11374.01,5163.46475688
2020-10-12,11187.6,11736.02,11374.01,11535.46,11056.91558046
2020-10-13,11312.59,11561.45,11535.46,11428.22,8639.21277154
2020-10-14,11290.83,11556.37,11428.22,11427.7,7078.70152873
2020-10-15,11263.15,11641.38,11427.7,11509.34,8538.52039637
2020-10-16,11201.0,11550.01,11509.31,11328.95,9505.26615373
2020-10-17,11264.75,11421.0,11328.27,11367.89,3586.1455215
2020-10-18,11350.37,11523.0,11367.9,11514.2,4352.09499051
2020-10-19,11416.04,11833.0,11514.2,11760.45,10313.23447344
2020-10-20,11685.0,12050.0,11760.45,11923.83,13840.02481291
